order,longitude,latitude
883575,120.6652119,31.325313
883575,120.6651919,31.325299
883575,120.6651359,31.325541
883575,120.663995,31.3270566
883575,120.6651539,31.325374
883575,120.6652179,31.324847
883575,120.6648967,31.3265794
883575,120.6652059,31.325305
883575,120.6643387,31.3291094
883575,120.6633462,31.3291238
883575,120.6644377,31.3286234
883575,120.6647317,31.3277474
883575,120.6617848,31.3287045
883575,120.6592845,31.3281962
883575,120.6576342,31.3278138
883575,120.6562106,31.3274913
883575,120.6604263,31.3284479
883575,120.655361,31.3273157
883575,120.654948,31.3288537
883575,120.655098,31.3279697
883575,120.655051,31.3299157
883575,120.654668,31.3317177
883575,120.6552668,31.3308945
883575,120.6526333,31.3317588
883575,120.6517441,31.3321774
883575,120.6534965,31.3317091
883575,120.6506456,31.3329918
883575,120.6509546,31.3327078
883575,120.6502336,31.3334018
883575,120.648733,31.3349642
883575,120.649517,31.3341392
883575,120.6477035,31.3357837
883575,120.6463773,31.3361213
883575,120.6472325,31.3358597
883575,120.5999352,31.3295499
883575,120.6124628,31.331053
883575,120.5433296,31.3480837
883575,120.5430566,31.3482317
883575,120.5412488,31.3481928
883575,120.5424892,31.3480883
883575,120.541851,31.3481471
883575,120.5404653,31.3481994
883575,120.5393524,31.3481219
883575,120.5388454,31.3485539
883575,120.5398239,31.3482134
883575,120.5378122,31.3495007
883575,120.538189,31.3490715
883575,120.6128546,31.331108
883575,120.5936344,31.3282955
883575,120.5818027,31.3262626
883575,120.6061996,31.3303033
883575,120.5959346,31.3305703
883575,120.5753201,31.3296995
883575,120.6061996,31.3303033
883575,120.5448701,31.3473508
883575,120.5645388,31.3300281
883575,120.5448701,31.3473508
883575,120.5474998,31.3461375
883575,120.5323205,31.3546244
883575,120.5330617,31.3560856
883575,120.5323745,31.3550004
883575,120.5325565,31.3552454
883575,120.5365501,31.3506186
883575,120.5353902,31.3516902
883575,120.5330049,31.3537879
883575,120.5342666,31.3526845
883575,120.5334545,31.3533695
883575,120.5374493,31.3497733
883575,120.5331969,31.3564239
883575,120.5331447,31.3563486
883575,120.5332809,31.3564319
883575,120.5328737,31.3562086
883575,120.5332899,31.3564219
883575,120.5329717,31.3561876
883575,120.5328737,31.3562086
883575,120.5326477,31.3566246
883575,120.5324105,31.3543614
883575,120.5329697,31.3561876
883575,120.5329697,31.3562056
883575,120.5330107,31.3561636
883575,120.5329957,31.3561736
883575,120.5330147,31.3561806
883575,120.5329467,31.3562036
883575,120.5329877,31.3561706
883575,120.5328747,31.3562766
883575,120.5329387,31.3562026
883575,120.5329757,31.3561736
883575,120.5327997,31.3562546
883575,120.5328487,31.3562586
883575,120.5331377,31.3560956
